2,0,0,0,0
4,1,0,1,0
8,1,1,1,0
16,3,3,2,1
32,10,10,9,5
64,18,16,16,10
128,43,40,49,26
256,76,70,72,46
512,150,158,150,100
1024,322,317,331,212
2048,688,617,623,416
4096,1326,1308,1309,874
8192,2801,2772,2594,1683
16384,5970,5847,6032,4178
32768,14249,13392,12788,7826
65536,27905,25251,23407,14606
131072,50780,43410,44259,28498
262144,200912,201007,202967,134129
524288,532764,533637,532589,355898
1048576,1782792,1713022,1712606,1141060
